title,director,type,countries,releaseYear
"The Beguiled","Sofia Coppola","Movie","United States","2017"
"The Book of Henry","Colin Trevorrow","Movie","United States","2017"
"The Twilight Saga: Breaking Dawn: Part 1","Bill Condon","Movie","United States","2011"
"The Twilight Saga: Breaking Dawn: Part 2","Bill Condon","Movie","United States","2012"
"The Twilight Saga: Eclipse","David Slade","Movie","United States","2010"
"The Twilight Saga: New Moon","Chris Weitz","Movie","United States","2009"
"Twilight","Catherine Hardwicke","Movie","United States","2008"
"A Perfect Fit","Hadrah Daeng Ratu","Movie","Indonesia","2021"
"BEASTARS","","TV Show","Japan","2021"
"Cheech & Chong's Still Smokin","Tommy Chong","Movie","","1983"
"Emicida: AmarElo - Live in São Paulo","Fred Ouro Preto","Movie","","2021"
"Her Private Life","","TV Show","South Korea","2019"
"Lift Like a Girl","Mayye Zayed","Movie","Egypt, Denmark, Germany","2021"
"My Amanda","Alessandra de Rossi","Movie","","2021"
"Never Have I Ever","","TV Show","United States","2021"
"Surf's Up","Ash Brannon, Chris Buck","Movie","United States, Canada","2007"
"The Unknown Saint","Alaa Eddine Aljem","Movie","","2019"
"This Changes Everything","Tom Donahue","Movie","United States","2019"
"A Classic Horror Story","Roberto De Feo, Paolo Strippoli","Movie","Italy","2021"
"Gunpowder Milkshake","Navot Papushado","Movie","","2021"
"Heist","","TV Show","","2021"
"My Unorthodox Life","","TV Show","","2021"
"Private Network: Who Killed Manuel Buendía?","Manuel Alcalá","Movie","","2021"
"The Guide to the Perfect Family","Ricardo Trogi","Movie","","2021"
"American Woman","Semi Chellas","Movie","United States, Canada","2019"
"Bridgerton - The Afterparty","","Movie","","2021"
"Day of Destiny","Akay Mason, Abosi Ogba","Movie","","2021"
"Ridley Jones","","TV Show","United States","2021"
"Born to Play","Viridiana Lieberman","Movie","United States","2020"
"American Ultra","Nima Nourizadeh","Movie","United States, Switzerland","2015"
"The Stand-Up","Daniel Růžička","Movie","","2019"
"The Tour","Juraj Šajmovič","Movie","","2016"
"Atypical","","TV Show","United States","2021"
"Biohackers","","TV Show","Germany","2021"
"Fear Street Part 2: 1978","Leigh Janiak","Movie","","2021"
"Finding Hubby","Femi D. Ogunsanwo","Movie","","2020"
"How I Became a Superhero","Douglas Attal","Movie","","2021"
"How to Become a Tyrant","","TV Show","","2021"
"Last Summer","","Movie","","2021"
"Lee Su-geun: The Sense Coach","Kim Joo-hyung","Movie","","2021"
"Lethal Love","Avi Federgreen","Movie","","2021"
"Ratchet and Clank","Jericca Cleland, Kevin Munroe","Movie","Hong Kong, Canada, United States","2016"
"The Cook of Castamar","","TV Show","","2021"
"Virgin River","","TV Show","United States","2021"
"Back to Q82","Ahmed Siddiqui","Movie","Kuwait, United States","2017"
"Elize Matsunaga: Once Upon a Crime","","TV Show","","2021"
"Home Again","Hallie Meyers-Shyer","Movie","United States","2017"
"Midnight Sun","Scott Speer","Movie","United States","2018"
"RESIDENT EVIL: Infinite Darkness","","TV Show","United States, Japan","2021"
"Rock the Kasbah","Barry Levinson","Movie","United States","2015"
"Awon Boyz","Tolulope Itegboje","Movie","","2019"
"Brick Mansions","Camille Delamarre","Movie","France, Canada, United States, Spain","2014"
"Cat People","","TV Show","","2021"
"Clash","Pascal Atuma","Movie","","2020"
"Dogs","","TV Show","United States","2021"
"Major Grom: Plague Doctor","Oleg Trofim","Movie","","2021"
"Mama Drama","Seyi Babatope","Movie","","2020"
"Tango With Me","Mahmood Ali-Balogun","Movie","Nigeria","2010"
"The Mire","Jan Holoubek","TV Show","Poland","2021"
"The War Next-door","","TV Show","","2021"
"Therapy","Anurin Nwunembom, Musing Derrick","Movie","","2020"
"This Little Love Of Mine","Christine Luby","Movie","Australia","2021"
"Three Thieves","Udoka Oyeka","Movie","","2019"
"A Land Imagined","Yeo Siew Hua","Movie","France, Netherlands, Singapore","2019"
"Ask the StoryBots","","TV Show","United States","2019"
"Between","","TV Show","Canada","2016"
"Chelsea","","TV Show","United States","2017"
"Code Lyoko","","TV Show","France, Belgium","2007"
"Colony","","TV Show","United States","2018"
"Cuckoo","","TV Show","United Kingdom","2019"
"Derry Girls","","TV Show","United Kingdom","2019"
"Girl from Nowhere","","TV Show","Thailand","2021"
"Good Morning Call","","TV Show","Japan","2017"
"Har Kisse Ke Hisse: Kaamyaab","Hardik Mehta","Movie","India","2020"
"I AM A KILLER","","TV Show","United Kingdom","2020"
"I Think You Should Leave with Tim Robinson","","TV Show","United States","2021"
"Kim's Convenience","","TV Show","Canada","2021"
"Larva","","TV Show","Russia","2015"
"Marcella","","TV Show","United Kingdom","2019"
"Midnight Diner: Tokyo Stories","","TV Show","Japan","2019"
"My Little Pony: Friendship Is Magic","","TV Show","United States, Canada","2018"
"Orange Is the New Black","","TV Show","United States","2019"
"Puffin Rock","","TV Show","Ireland, United States, United Kingdom","2016"
"Rehmataan","Rajveer Singh Maan, Harpeet Singh","Movie","India","2012"
"Return of the Prodigal Son","Youssef Chahine","Movie","Egypt","1976"
"Richie Rich","","TV Show","United States","2015"
"Rise: Ini Kalilah","Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath","Movie","Malaysia","2018"
"Scream","","TV Show","United States","2019"
"Shtisel","","TV Show","Israel","2021"
"Si Doel the Movie 2","Rano Karno","Movie","Indonesia","2019"
"Some Assembly Required","","TV Show","Canada","2015"
"Tales by Light","","TV Show","Australia","2018"
"Terrace House: Opening New Doors","","TV Show","Japan","2018"
"The A List","","TV Show","United Kingdom","2021"
"The New Legends of Monkey","","TV Show","Australia, New Zealand","2020"
"The Worst Witch","","TV Show","United Kingdom, Germany","2020"
"Truckbhar Swapna","Pramod Pawar","Movie","India","2018"
"Ujala","Naresh Saigal","Movie","India","1959"
"Undercover","","TV Show","Belgium, Netherlands","2020"
"Workin' Moms","","TV Show","Canada","2021"
"YooHoo to the Rescue","","TV Show","South Korea","2020"
"You Are My Spring","","TV Show","","2021"
"We the People","","TV Show","United States","2021"
"Grey's Anatomy","","TV Show","United States","2020"
"Big Timber","","TV Show","","2020"
"Fear Street Part 1: 1994","Leigh Janiak","Movie","","2021"
"Haseen Dillruba","Vinil Mathew","Movie","India","2021"
"Holiday on Mars","Neri Parenti","Movie","","2020"
"Mortel","","TV Show","France","2019"
"RattleSnake - The Ahanna Story","Ramsey Nouah","Movie","Nigeria","2020"
"Snowpiercer","Bong Joon Ho","Movie","South Korea, Czech Republic","2013"
"The 8th Night","Kim Tae-hyung","Movie","South Korea","2021"
"Winchester","Michael Spierig, Peter Spierig","Movie","Australia, United States","2018"
"6 Bullets","Ernie Barbarash","Movie","United States","2012"
"Air Force One","Wolfgang Petersen","Movie","United States, Germany","1997"
"Audible","Matt Ogens","Movie","","2021"
"Austin Powers in Goldmember","Jay Roach","Movie","United States","2002"
"Austin Powers: International Man of Mystery","Jay Roach","Movie","United States","1997"
"Austin Powers: The Spy Who Shagged Me","Jay Roach","Movie","United States","1999"
"Boogie Nights","Paul Thomas Anderson","Movie","United States","1997"
"Bureau of Magical Things","","TV Show","Australia, Germany","2020"
"Charlie's Angels","McG","Movie","United States, Germany","2000"
"Congo","Frank Marshall","Movie","United States","1995"
"Dennis the Menace","Nick Castle","Movie","United States","1993"
"Dreamy Eyes","Victor Vu","Movie","Vietnam","2019"
"Dynasty Warriors","Chow Hin Yeung Roy","Movie","","2021"
"Generation 56k","","TV Show","","2021"
"Hampstead","Joel Hopkins","Movie","United Kingdom, Belgium","2019"
"Kung Fu Panda","John Stevenson, Mark Osborne","Movie","United States, China","2008"
"Kung Fu Panda 2","Jennifer Yuh Nelson","Movie","United States, China","2011"
"Life as We Know It","Greg Berlanti","Movie","United States","2010"
"Mary Magdalene","Garth Davis","Movie","United Kingdom, Australia, United States","2019"
"Masameer County","Malik Nejer","TV Show","","2021"
"Memoirs of a Geisha","Rob Marshall","Movie","France, Japan, United States","2005"
"Midnight Run","Martin Brest","Movie","United States","1988"
"Mobile Suit Gundam Hathaway","Shuko Murase","Movie","","2021"
"Mortal Kombat","Paul W.S. Anderson","Movie","United States","1995"
"Mother's Day","Garry Marshall","Movie","United States","2016"
"No Strings Attached","Ivan Reitman","Movie","United States, United Kingdom","2011"
"Not Another Teen Movie","Joel Gallen","Movie","United States","2001"
"Ophelia","Claire McCarthy","Movie","United Kingdom, United States","2018"
"Pet Sematary 2","Mary Lambert","Movie","","1992"
"Quarantine Tales","Sidharta Tata, Aco Tenriyagelli, Dian Sastrowardoyo, Ifa Isfansyah, Jason Iskandar","TV Show","","2020"
"Rainbow Rangers","","TV Show","United States","2018"
"Red Joan","Trevor Nunn","Movie","United Kingdom","2019"
"Sailor Moon Crystal","","TV Show","","2016"
"Seven Pounds","Gabriele Muccino","Movie","United States","2008"
"She's Out of My League","Jim Field Smith","Movie","United States","2010"
"Snow Day","Chris Koch","Movie","United States","2000"
"Star Trek","J.J. Abrams","Movie","United States, Germany","2009"
"Stuart Little","Rob Minkoff","Movie","Germany, United States","1999"
"Sword of Trust","Lynn Shelton","Movie","United States","2019"
"Talladega Nights: The Ballad of Ricky Bobby","Adam McKay","Movie","United States","2006"
"The American","Anton Corbijn","Movie","United States, United Kingdom","2010"
"The Best of Enemies","Robin Bissell","Movie","United States","2019"
"The Game","David Fincher","Movie","United States","1997"
"The Karate Kid","John G. Avildsen","Movie","United States","1984"
"The Karate Kid Part II","John G. Avildsen","Movie","United States","1986"
"The Karate Kid Part III","John G. Avildsen","Movie","United States","1989"
"The Life of David Gale","Alan Parker","Movie","United Kingdom, Germany, Spain, United States","2003"
"The Long Riders","Walter Hill","Movie","United States","1980"
"The Queen","Stephen Frears","Movie","United Kingdom, United States, France, Italy","2006"
"The Strangers","Bryan Bertino","Movie","United States","2008"
"The Sum of All Fears","Phil Alden Robinson","Movie","United States, Germany, Canada","2002"
"The Tourist","Florian Henckel von Donnersmarck","Movie","United States, France, Italy, United Kingdom","2010"
"Underworld","Len Wiseman","Movie","United States, United Kingdom, Germany, Hungary","2003"
"Underworld: Awakening","Måns Mårlind, Björn Stein","Movie","United States, Canada","2012"
"Underworld: Rise of the Lycans","Patrick Tatopoulos","Movie","United States, New Zealand","2009"
"Voiceless","Robert O. Peters","Movie","Nigeria","2020"
"What Dreams May Come","Vincent Ward","Movie","United States, New Zealand","1998"
"Why Do Fools Fall in Love","Gregory Nava","Movie","United States","1998"
"Working Title","Mary Harron","Movie","","2019"
"Young Royals","","TV Show","Sweden","2021"
"America: The Motion Picture","Matt Thompson","Movie","United States","2021"
"Deranged","Jameel Buari","Movie","","2020"
"Droppin' Cash: Los Angeles","","TV Show","United States","2019"
"Legend of Exorcism","Shen Leping","TV Show","","2020"
"Lying and Stealing","Matt Aselton","Movie","United States","2019"
"Mommy Issues","Jose Javier Reyes","Movie","","2021"
"Prime Time","Jakub Piątek","Movie","","2021"
"Somos.","","TV Show","Mexico","2021"
"Sophie: A Murder in West Cork","John Dower","TV Show","","2021"
"The Daily Life of the Immortal King","","TV Show","China","2020"
"StarBeam","","TV Show","United States","2021"
"A Way Back Home","B. T Thomas","Movie","","2020"
"Killing Them Softly","Andrew Dominik","Movie","United States","2012"
"The Seven Deadly Sins","","TV Show","Japan","2021"
"Wanted","Nibal Arakji","Movie","","2019"
"Into the Wind","Sofie Šustková","Movie","","2018"
"Wonder Boy","Anissa Bonnefont","Movie","France","2019"
"Here Comes the Rain","Bahij Hojeij","Movie","Lebanon","2010"
"The Ice Road","Jonathan Hensleigh","Movie","United States, Canada","2021"
"Ray","Srijit Mukherji, Vasan Bala, Abhishek Chaubey","TV Show","","2021"
"Sex/Life","","TV Show","United States","2021"
"Godzilla Singular Point","","TV Show","","2021"
"Jiva!","","TV Show","","2021"
"Sisters on Track","","Movie","","2021"
"The Naked Director","","TV Show","Japan","2021"
"The Seventh Day","Justin P. Lange","Movie","United States","2021"
"Good on Paper","Kimmy Gatewood","Movie","","2021"
"Murder by the Coast","Tània Balló","Movie","","2021"
"The House of Flowers: The Movie","Manolo Caro","Movie","","2021"
"The Parisian Agency: Exclusive Properties","","TV Show","","2021"
"Too Hot to Handle","","TV Show","United States","2021"
"Broken","Anurin Nwunembom","Movie","","2019"
"O Vendedor de Sonhos","Jayme Monjardim","Movie","Brazil","2016"
"Osuofia in London","Kingsley Ogoro","Movie","Nigeria","2003"
"Osuofia in London II","Kingsley Ogoro","Movie","","2004"
"This Is Pop","","TV Show","","2021"
"#Selfie","Cristina Jacob","Movie","Romania","2014"
"#Selfie 69","Cristina Jacob","Movie","Romania","2016"
"Love Is a Story","Cristina Jacob","Movie","Romania","2015"
"The Mole","","TV Show","United States","2001"
"Nevertheless,","","TV Show","","2021"
"Bangkok Love Stories: Innocence","","TV Show","Thailand","2018"
"Black Lightning","","TV Show","United States","2021"
"Call My Agent!","","TV Show","France","2018"
"Champions","","TV Show","United States","2018"
"Charité at War","","TV Show","","2019"
"Cleo & Cuquin","Fernando Moro","TV Show","Spain","2020"
"Deadwind","","TV Show","Finland, Germany","2020"
"Gameboys Level-Up Edition","Ivan Andrew Payawal","TV Show","","2020"
"Glee","","TV Show","United States","2015"
"Hap and Leonard","","TV Show","United States","2018"
"Locked Up","","TV Show","Spain","2020"
"Mobile Suit Gundam II: Soldiers of Sorrow","Yoshiyuki Tomino, Yoshikazu Yasuhiko","Movie","","1981"
"Mobile Suit Gundam III: Encounters in Space","Yoshiyuki Tomino, Yoshikazu Yasuhiko","Movie","","1982"
"Mobile Suit Gundam: Char's Counterattack","Yoshiyuki Tomino","Movie","","1988"
"No Time for Shame","","TV Show","Argentina","2019"
"Pose","","TV Show","United States","2019"
"REA(L)OVE","","TV Show","Japan","2018"
"Riverdale","Rob Seidenglanz","TV Show","United States","2019"
"Schitt's Creek","","TV Show","Canada, United States","2020"
"The Assassination of Gianni Versace","","TV Show","United States","2018"
"The Judgement","","TV Show","Thailand","2018"
"The Last Dance","","TV Show","United States","2020"
"They've Gotta Have Us","Simon Frederick","TV Show","United Kingdom","2018"
"Why Are You Like This","","TV Show","Australia","2021"
"A Family","Michihito Fujii","Movie","","2021"
"Elite","","TV Show","Spain","2021"
"Fatherhood","Paul Weitz","Movie","United States","2021"
"Hospital Playlist","","TV Show","South Korea","2021"
"Jagame Thandhiram","Karthik Subbaraj","Movie","","2021"
"Kambili: The Whole 30 Yards","Kayode Kasum","Movie","Nigeria","2020"
"Mobile Suit Gundam I","Yoshiyuki Tomino, Yoshikazu Yasuhiko","Movie","","1981"
"Rurouni Kenshin: The Final","Keishi Otomo","Movie","","2021"
"So Not Worth It","","TV Show","","2021"
"The Rational Life","Hsu Fu-chun","TV Show","","2021"
"Ali & Ratu Ratu Queens","Lucky Kuswandi","Movie","","2021"
"Aziza","Soudade Kaadan","Movie","Lebanon, Syria","2019"
"Besieged Bread","Soudade Kaadan","Movie","","2015"
"Black Summer","","TV Show","Canada, United States","2021"
"Elite Short Stories: Carla Samuel","","TV Show","","2021"
"Fan Girl","Antoinette Jadaone","Movie","Philippines","2020"
"Katla","","TV Show","Iceland","2021"
"Record of Ragnarok","","TV Show","","2021"
"Red Snow","Marie Clements","Movie","Canada","2019"
"Silver Linings Playbook","David O. Russell","Movie","United States","2012"
"The Gift","","TV Show","Turkey","2021"
"A Man For The Week End","Achille Brice","Movie","","2018"
"Biking Borders","Max Jabs","Movie","Germany","2019"
"Elite Short Stories: Omar Ander Alexis","","TV Show","","2021"
"Let's Eat","Sarawut Wichiensarn","TV Show","","2021"
"Lowriders","Ricardo de Montreuil","Movie","United States","2016"
"Millennials","","TV Show","Argentina","2020"
"Penguin Town","","TV Show","","2021"
"Security","Peter Chelsom","Movie","Italy","2021"
"Silver Skates","Michael Lockshin","Movie","","2020"
"Avengers Climate Conundrum","","TV Show","United States","2020"
"Beyond Evil","","TV Show","","2021"
"Elite Short Stories: Nadia Guzmán","","TV Show","","2021"
"FTA","Francine Parker","Movie","United States","1972"
"Headspace: Unwind Your Mind","","Movie","","2021"
"Life of Crime","Daniel Schechter","Movie","United States","2013"
"Power Rangers Dino Fury","","TV Show","United States","2021"
"Rhyme Time Town","","TV Show","","2021"
"Rogue Warfare: Death of a Nation","Mike Gunther","Movie","United States","2020"
